paper	citation
41791	296
41791	821
41791	1138
41791	1262
41791	1390
41791	2356
41791	2470
41791	2498
41791	2552
41791	2802
41791	2840
41791	3200
41791	3276
126201	63
126201	3311
126201	2521
126201	2522
126201	2523
489293	101
489293	204
489293	1277
489293	1314
489293	1364
489293	1434
489293	1668
489293	2796
489293	1484
489293	1485
489293	1486
489293	1487
489293	1488
489293	1489
489293	1490
523297	84
523297	276
523297	827
523297	1227
523297	2277
523297	2393
523297	2742
523297	2771
523297	2782
523297	3321
523297	3379
523297	2647
523297	2648
523297	2649
666274	1367
666274	1484
666274	2736
807585	799
807585	2905
807585	3156
807585	3313
807585	3457
807585	2722
807590	87
807590	104
807590	207
807590	1051
807590	1316
807590	1353
807590	1368
807590	1435
807590	1485
807590	1669
807590	2800
807590	2880
807590	3182
807590	3491
1717997	90
1717997	636
1717997	669
1717997	1318
1717997	1542
1911828	802
1911828	2523
1911828	3315
1911828	2736
1911828	2737
2378348	95
2378348	280
2378348	640
2378348	1229
2378348	1350
2378348	1371
2378348	1483
2378348	1490
2378348	1544
2378348	2365
2378348	2648
2378348	2651
2378348	2745
2378348	2773
2378348	3053
387210	648
387210	2506
387210	2846
387210	3333
387210	296
387210	297
387210	298
387210	299
387210	300
387210	301
387210	302
387210	303
387210	304
387210	305
387210	306
387210	307
387210	308
387210	309
387210	310
387210	311
387210	312
387210	313
387210	314
387210	315
387210	316
387210	317
387210	318
1406678	78
1406678	370
1406678	425
1406678	489
1406678	537
1406678	547
1406678	635
1406678	655
1406678	668
1406678	685
1406678	1077
1406678	1146
1406678	1153
1406678	1471
1406678	1503
1406678	1510
1406678	1602
1406678	1614
1406678	1646
1406678	1666
1406678	1762
1406678	1791
1406678	1866
1406678	1884
1406678	1984
1406678	2040
1406678	2086
1406678	2094
1406678	2115
1406678	2122
1406678	2136
1406678	2185
1406678	2288
1406678	2318
1406678	2321
1406678	2343
1406678	2386
1406678	2399
1406678	2404
1406678	2407
1406678	2457
1406678	2550
1406678	2566
1406678	2669
1406678	2696
1406678	2848
1406678	2937
1406678	2993
1406678	3007
1406678	3178
1406678	3230
1406678	3244
1406678	3255
1406678	3265
1406678	3349
1406678	3401
1406678	3416
1406678	821
1406678	822
1406678	823
1406678	824
1406678	825
1406678	826
1406678	827
1406678	828
1406678	829
1406678	830
1406678	831
694976	1138
694976	1139
694976	1140
694976	1141
694976	1142
1330613	1262
1330613	1263
1330613	1264
1330613	1265
1330613	1266
1330613	1267
1330613	1268
171052	671
171052	1324
171052	1496
171052	2117
171052	2340
171052	2995
171052	1390
171052	1391
171052	1392
704126	317
704126	1458
704126	2356
704126	2357
704126	2358
704126	2359
704126	2360
704126	2361
704126	2362
704126	2363
704126	2364
704126	2365
704126	2366
2531247	2470
2531247	2471
2531247	2472
2531247	2473
2531247	2474
2531247	2475
2531247	2476
2531247	2477
2531247	2478
2531247	2479
2531247	2480
2531247	2481
2531247	2482
2406	1680
2406	2839
2406	2498
2406	2499
2406	2500
2406	2501
2406	2502
2406	2503
2406	2504
2406	2505
2406	2506
2406	2507
2406	2508
2406	2509
2406	2510
213017	302
213017	2361
213017	2552
213017	2553
213017	2554
213017	2555
213017	2556
213017	2557
213017	2558
213017	2559
213017	2560
213017	2561
247457	303
247457	1001
247457	1444
247457	2388
