paper	citation
793816	96
793816	103
793816	294
793816	633
793816	798
793816	842
793816	1315
793816	1845
793816	2521
793816	2524
793816	2729
793816	2855
793816	3312
793816	3457
793816	3458
127832	290
127832	587
127832	725
127832	837
127832	3452
127832	96
127832	97
127832	98
133771	1363
133771	2794
133771	2877
133771	3358
133771	99
133771	100
133771	101
133771	102
133771	103
133771	104
133771	105
372215	1854
372215	2643
372215	290
372215	291
372215	292
372215	293
372215	294
372215	295
781468	389
781468	475
781468	557
781468	664
781468	678
781468	1558
781468	1596
781468	1701
781468	2112
781468	2384
781468	2945
781468	2952
781468	3009
781468	3042
781468	623
781468	624
781468	625
781468	626
781468	627
781468	628
781468	629
781468	630
781468	631
781468	632
781468	633
781468	634
781468	635
781468	636
781468	637
781468	638
781468	639
781468	640
1364311	3314
1364311	797
1364311	798
1364311	799
1364311	800
1364311	801
1364311	802
1992594	836
1992594	837
1992594	838
1992594	839
1992594	840
1992594	841
1992594	842
1992594	843
2018268	79
2018268	1629
2018268	2801
2018268	3297
2018268	1312
2018268	1313
2018268	1314
2018268	1315
2018268	1316
2018268	1317
2018268	1318
2018268	1319
2018268	1320
231407	589
231407	1027
231407	1921
231407	2259
231407	3370
231407	1843
231407	1844
231407	1845
231407	1846
231407	1847
231407	1848
126201	3
126201	63
126201	3311
126201	2521
126201	2522
126201	2523
133397	588
133397	2524
133397	2525
1329394	2728
1329394	2729
1329394	2730
398353	630
398353	841
398353	1540
398353	1844
398353	1927
398353	2383
398353	2944
398353	2951
398353	3011
398353	2854
398353	2855
398353	2856
95319	62
95319	1767
95319	1843
95319	2787
95319	3311
95319	3312
95319	3313
95319	3314
95319	3315
807585	7
807585	799
807585	2905
807585	3156
807585	3313
807585	3457
807585	2722
1745277	2522
1745277	3458
802709	97
802709	1846
802709	2525
1856135	98
772980	587
772980	588
772980	589
824347	725
766065	3452
52738	99
85146	100
85146	623
489293	101
489293	1314
522294	102
807590	104
807590	1316
1733718	105
1733718	637
1733718	800
1733718	2856
84754	1363
196795	2794
196795	2801
577890	2877
326447	3358
201105	291
201105	838
237951	292
237951	839
238990	293
238990	840
2060441	295
246893	1854
403985	2643
577900	389
694450	475
695213	557
161007	624
234595	625
325983	626
334622	627
341264	628
341264	2259
341825	629
341825	3370
781126	631
781559	632
804074	634
1406678	635
1717997	636
1717997	1318
1860317	638
1860317	1319
2091218	639
2091218	1320
2378348	640
781572	664
803605	678
694962	1558
803759	1596
1308231	1701
781064	2112
780883	2383
780883	2384
765910	2944
765910	2945
767778	2951
767778	2952
804392	3009
4442249	3042
579334	797
1856091	801
1911828	802
1911828	2523
1911828	3315
121622	836
121622	1312
824873	843
824873	1629
40898	79
176979	1313
927164	1317
927164	1847
3935807	3297
383296	1027
14415090	1848
356522	1921
356522	1927
3070	62
3070	63
444283	2728
822416	2730
578793	1540
778984	2854
846844	3011
3974516	1767
193591	2787
1856049	2722
588980	2905
522944	3156
