paper	paper
793816	127832
793816	133771
793816	372215
793816	781468
793816	1364311
793816	1992594
793816	2018268
793816	231407
793816	126201
793816	133397
793816	1329394
793816	398353
793816	95319
793816	807585
793816	1745277
127832	793816
127832	802709
127832	1856135
127832	372215
127832	772980
127832	824347
127832	1992594
127832	766065
133771	52738
133771	85146
133771	489293
133771	522294
133771	793816
133771	807590
133771	1733718
133771	84754
133771	196795
133771	577890
133771	326447
372215	127832
372215	201105
372215	237951
372215	238990
372215	793816
372215	2060441
372215	246893
372215	403985
781468	577900
781468	694450
781468	695213
781468	85146
781468	161007
781468	234595
781468	325983
781468	334622
781468	341264
781468	341825
781468	398353
781468	781126
781468	781559
781468	793816
781468	804074
781468	1406678
781468	1717997
781468	1733718
781468	1860317
781468	2091218
781468	2378348
781468	781572
781468	803605
781468	694962
781468	803759
781468	1308231
781468	781064
781468	780883
781468	765910
781468	767778
781468	804392
781468	4442249
1364311	579334
1364311	793816
1364311	807585
1364311	1733718
1364311	1856091
1364311	1911828
1364311	95319
1992594	121622
1992594	127832
1992594	201105
1992594	237951
1992594	238990
1992594	398353
1992594	793816
1992594	824873
2018268	40898
2018268	121622
2018268	176979
2018268	489293
2018268	793816
2018268	807590
2018268	927164
2018268	1717997
2018268	1860317
2018268	2091218
2018268	824873
2018268	196795
2018268	3935807
231407	772980
231407	383296
231407	95319
231407	398353
231407	793816
231407	802709
231407	927164
231407	14415090
231407	356522
231407	341264
231407	341825
126201	3070
126201	793816
126201	1745277
126201	1911828
126201	95319
133397	772980
133397	793816
133397	802709
1329394	444283
1329394	793816
1329394	822416
398353	781468
398353	1992594
398353	578793
398353	231407
398353	356522
398353	780883
398353	778984
398353	793816
398353	1733718
398353	765910
398353	767778
398353	846844
95319	3070
95319	3974516
95319	231407
95319	193591
95319	126201
95319	793816
95319	807585
95319	1364311
95319	1911828
807585	1364311
807585	1856049
807585	588980
807585	522944
807585	95319
807585	793816
1745277	126201
1745277	793816
802709	127832
802709	310910
802709	231407
802709	133397
802709	846844
1856135	127832
772980	127832
772980	133397
772980	231407
772980	326447
824347	40898
824347	127832
824347	238990
824347	403985
766065	127832
52738	85146
52738	133771
52738	579334
52738	807590
52738	1733718
52738	84754
52738	196795
52738	778984
85146	52738
85146	579334
85146	807590
85146	927164
85146	1717997
85146	1733718
85146	1860317
85146	2091218
85146	2378348
85146	133771
85146	781468
85146	781572
85146	84754
85146	578793
85146	196795
85146	577890
85146	765910
85146	326447
489293	133771
489293	310910
489293	2018268
489293	84754
489293	807590
489293	927164
489293	1860317
489293	2091218
489293	2378348
489293	196795
522294	133771
522294	579334
522294	807590
522294	84754
522294	577890
807590	85146
807590	133771
807590	310910
807590	522294
807590	2018268
807590	52738
807590	84754
807590	489293
807590	196795
807590	577890
807590	1733718
1733718	85146
1733718	133771
1733718	781468
1733718	781572
1733718	1364311
1733718	52738
1733718	84754
1733718	578793
1733718	1860317
1733718	2091218
1733718	398353
1733718	765910
1733718	326447
1733718	807590
84754	383296
84754	52738
84754	85146
84754	133771
84754	489293
84754	522294
84754	579334
84754	807590
84754	927164
84754	1733718
84754	2378348
84754	196795
84754	577890
196795	781572
196795	383296
196795	52738
196795	84754
196795	85146
196795	133771
196795	489293
196795	577890
196795	778984
196795	807590
196795	2018268
577890	196795
577890	84754
577890	85146
577890	133771
577890	522294
577890	807590
577890	927164
326447	772980
326447	356522
326447	85146
326447	133771
326447	1733718
201105	372215
201105	1992594
237951	372215
237951	1992594
237951	824873
238990	40898
238990	372215
238990	824347
238990	1992594
238990	824873
238990	193591
2060441	372215
2060441	246893
246893	372215
246893	2060441
403985	824347
403985	372215
577900	780883
577900	781064
577900	781468
577900	781572
577900	803759
694450	780883
694450	781064
694450	781126
694450	781468
695213	781468
695213	781559
161007	40898
161007	781468
161007	767778
234595	781468
234595	578793
325983	781468
325983	781559
325983	578793
325983	781126
334622	781468
334622	356522
341264	781468
341264	578793
341264	356522
341264	231407
341264	14415090
341264	846844
341264	341825
341825	781468
341825	578793
341825	356522
341825	781126
341825	231407
341825	341264
341825	14415090
781126	694450
781126	781468
781126	325983
781126	341825
781126	383296
781126	781559
781126	846844
781126	804392
781559	695213
781559	781468
781559	325983
781559	1406678
781559	781572
781559	803605
781559	578793
781559	803759
781559	1308231
781559	781064
781559	780883
781559	781126
804074	40898
804074	781468
804074	1860317
804074	2091218
1406678	40898
1406678	781468
1406678	781559
1406678	781572
1406678	803605
1406678	803759
1406678	781064
1406678	780883
1717997	85146
1717997	781468
1717997	781572
1717997	2018268
1717997	578793
1860317	85146
1860317	781468
1860317	2018268
1860317	489293
1860317	824873
1860317	1733718
1860317	804074
2091218	85146
2091218	781468
2091218	2018268
2091218	489293
2091218	824873
2091218	1733718
2091218	804074
2378348	85146
2378348	781468
2378348	84754
2378348	489293
2378348	578793
781572	577900
781572	85146
781572	196795
781572	383296
781572	765910
781572	778984
781572	781468
781572	781559
781572	846844
781572	1406678
781572	1717997
781572	1733718
781572	803605
781572	694962
781572	803759
781572	1308231
781572	767778
803605	780883
803605	781064
803605	781468
803605	781559
803605	781572
803605	803759
803605	1406678
694962	781468
694962	781572
803759	577900
803759	803605
803759	767778
803759	780883
803759	781468
803759	781559
803759	781572
803759	804392
803759	1406678
1308231	765910
1308231	780883
1308231	781468
1308231	781559
1308231	781572
1308231	804392
781064	577900
781064	694450
781064	803605
781064	780883
781064	781468
781064	781559
781064	1406678
780883	577900
780883	694450
780883	803605
780883	803759
780883	1308231
780883	781064
780883	398353
780883	781468
780883	781559
780883	1406678
780883	4442249
765910	781572
765910	1308231
765910	85146
765910	398353
765910	781468
765910	1733718
767778	803759
767778	161007
767778	398353
767778	781468
767778	781572
767778	846844
804392	803759
804392	1308231
804392	781126
804392	781468
4442249	780883
4442249	781468
579334	85146
579334	1364311
579334	522294
579334	52738
579334	84754
1856091	1364311
1911828	1364311
1911828	126201
1911828	95319
121622	1992594
121622	2018268
824873	1992594
824873	237951
824873	238990
824873	927164
824873	1860317
824873	2018268
824873	2091218
40898	161007
40898	238990
40898	383296
40898	778984
40898	804074
40898	824347
40898	1406678
40898	2018268
176979	2018268
176979	927164
927164	85146
927164	2018268
927164	84754
927164	489293
927164	824873
927164	231407
927164	176979
927164	577890
927164	3935807
3935807	927164
3935807	2018268
383296	40898
383296	781572
383296	84754
383296	196795
383296	231407
383296	781126
14415090	231407
14415090	341264
14415090	341825
356522	231407
356522	326447
356522	334622
356522	341264
356522	341825
356522	398353
3070	95319
3070	126201
444283	1329394
444283	522944
822416	1329394
578793	85146
578793	234595
578793	325983
578793	341264
578793	341825
578793	398353
578793	781559
578793	1717997
578793	1733718
578793	2378348
778984	40898
778984	781572
778984	196795
778984	398353
778984	52738
846844	781572
846844	781126
846844	767778
846844	341264
846844	398353
846844	802709
3974516	95319
193591	95319
193591	238990
1856049	807585
1856049	588980
588980	522944
588980	807585
588980	1856049
522944	588980
522944	444283
522944	807585
310910	489293
310910	802709
310910	807590
