character	film
41116	41101
41107	41101
41105	41101
41103	41101
41097	41050
41095	41050
41070	41050
41065	41050
41063	41050
41058	41050
41056	41050
41054	41050
41052	41050
41033	40786
40949	40786
40911	40786
40868	40786
40823	40786
40814	40786
27935	40786
40808	40786
40806	40786
40801	40786
40794	40786
40792	40786
27932	40786
27925	40786
24751	40786
40763	40748
40709	40559
40614	40559
40581	40559
40579	40559
40530	40523
40522	40510
40495	40485
40491	40485
40470	40464
40328	40277
40303	40277
40301	40277
40299	40277
40286	40277
40284	40277
40276	40254
40274	40254
26390	40254
40243	40212
40230	40212
40211	40194
40209	40194
40207	40194
