actor	film
17408	17202
17408	24946
17408	38231
6087	6045
6087	12719
6087	22832
6087	24946
19779	19558
19779	20135
19779	24946
25076	24946
25076	27763
25076	40786
12228	12202
12228	15955
12228	24946
12228	32610
22152	22048
22152	24946
22152	36780
10296	10254
10296	19072
10296	24946
3782	3734
3782	15955
3782	24946
2639	2636
2639	24946
10982	10961
10982	11517
10982	24946
4938	4923
4938	15955
4938	24946
6698	6669
6698	8449
6698	24946
6698	28207
4548	4525
4548	5185
4548	6669
4548	8992
4548	16393
4548	22549
4548	24946
7652	7649
7652	24946
7652	26339
7652	41050
2439	41101
5147	41101
6536	38231
6536	41101
1893	41101
813	12202
813	40748
5702	40559
57	19072
57	40559
23429	40559
33157	40559
10027	40523
6194	40510
8970	40277
8970	40485
24748	40485
14700	40464
831	40277
14314	40277
7419	40277
17447	40277
4991	40277
37798	40254
26389	26339
26389	40254
27516	40212
17171	26339
17171	40212
13054	40194
9091	40194
9091	41050
14323	40194
1648	5185
1648	40194
22064	22048
22064	40155
22064	40194
9525	40194
13810	40194
11397	40155
13025	40155
1651	40155
6493	40155
463	12202
463	17202
463	40143
4551	4525
4551	40105
6739	6669
6739	40105
3476	40105
12976	12719
12976	40105
