actor	character
361	362
361	24137
361	26346
7954	7955
7954	26352
7954	31790
7954	34996
24595	24596
24595	26357
24595	33646
24595	38572
3464	3465
3464	3530
3464	4320
3464	13148
3464	23291
3464	25162
3464	26360
25969	25970
25969	26362
25969	39353
17171	17172
17171	26364
17171	40230
7652	7653
7652	24951
7652	26369
7652	41056
26389	26390
26389	30063
17744	17745
17744	26395
17744	38386
3212	3213
3212	26408
3212	27540
3212	29659
9734	9735
9734	13831
9734	26415
9734	27753
9734	31572
22531	22532
22531	26480
22531	31098
24455	24456
24455	26501
24455	33814
6463	6464
6463	26527
6463	27070
