actor	film
1648	1645
1648	5185
1648	30710
1648	33761
1648	40194
1651	1645
1651	9511
1651	40155
171	1645
171	6191
1659	1645
1659	5381
1659	38829
194	1645
194	13716
194	29964
1227	1161
1227	1645
1227	16393
1340	1161
1340	1645
1340	12719
1212	1161
1212	1645
1212	12719
1346	1161
1346	1645
1346	12719
1346	28207
1346	35077
1346	35910
1782	1645
1782	12719
1782	35077
1788	1645
1788	8449
1788	28207
1806	1645
1806	8449
1806	35077
1378	1161
1378	1645
1378	8449
1378	12719
1378	28207
1389	1161
1389	1645
1389	12719
1395	1161
1395	1645
1395	28207
1398	1161
1398	1645
1398	12719
