actor	starring
1648	1647
1648	5190
1648	30720
1648	33765
1648	33767
1648	40204
1651	1650
1651	9513
1651	40162
171	170
171	1653
171	6209
1659	1658
1659	5383
1659	38845
194	193
194	1669
194	13748
194	29991
1227	1226
1227	1701
1227	16437
1340	1339
1340	1748
1340	12882
1212	1211
1212	1756
1212	12780
1346	1345
1346	1761
1346	12893
1346	28343
1346	35254
1346	35256
1346	36097
1782	1781
1782	12866
1782	35232
1788	1787
1788	8686
1788	28353
1806	1805
1806	8701
1806	35300
1378	1377
1378	1380
1378	1811
1378	1821
1378	8709
1378	12904
1378	12906
1378	28374
1389	1388
1389	1819
1389	12926
1395	1394
1395	1823
1395	28387
1398	1397
1398	1825
1398	12934
