character	film
1649	1645
1652	1645
1654	1645
1660	1645
1670	1645
1702	1645
1749	1645
1757	1645
1762	1645
1783	1645
1789	1645
1807	1645
1812	1645
1820	1645
1822	1645
1824	1645
1826	1645
5191	5185
30721	30710
33766	33761
33768	33761
40205	40194
9514	9511
40163	40155
6210	6191
5384	5381
38846	38829
13749	13716
29992	29964
1228	1161
16438	16393
1341	1161
12883	12719
1213	1161
12781	12719
1347	1161
12894	12719
28344	28207
35255	35077
35257	35077
36098	35910
12867	12719
35233	35077
8687	8449
28354	28207
8702	8449
35301	35077
1379	1161
1381	1161
8710	8449
12905	12719
12907	12719
28375	28207
1390	1161
12927	12719
1396	1161
28388	28207
1399	1161
12935	12719
