character	starring
41116	41115
41107	41106
41105	41104
41103	41102
41097	41096
41095	41094
41070	41069
41065	41064
41063	41062
41058	41057
41056	41055
41054	41053
41052	41051
41033	41032
40949	40948
40911	40910
40868	40867
40823	40822
40814	40813
27935	40812
40808	40807
40806	40805
40801	40800
40794	40793
40792	40791
27932	40790
27925	40789
24751	40788
40763	40762
40709	40708
40614	40613
40581	40580
40579	40578
40530	40529
40522	40521
40495	40494
40491	40490
40470	40469
40328	40327
40303	40302
40301	40300
40299	40298
40286	40285
40284	40283
40276	40275
40274	40273
26390	40255
40243	40242
40230	40229
40211	40210
40209	40208
40207	40206
40205	40204
40203	40202
40198	40197
40196	40195
