ntype1	ntype2
1483	1478
1184	1172
1100	992
304	279
107	80
2405	2278
3592	11
2809	2783
3363	3185
405	283
3359	3353
594	576
3510	3497
714	332
3005	3007
1307	1304
794	764
707	651
3262	3191
2487	2489
105	80
1705	1687
899	892
3019	2506
1382	1384
1186	1172
2576	2562
3260	3191
1104	885
3161	3148
2056	4
1784	1687
2909	2855
2270	2217
3062	3048
1885	1687
2403	2278
2664	2624
1785	1687
1606	1592
1481	1478
601	332
1101	992
205	143
2097	2095
2183	2157
986	988
3357	3353
1486	1478
592	576
1212	1172
504	457
507	332
2492	2489
1500	885
904	885
2812	2783
1386	1384
1103	992
1102	992
3159	3082
505	457
300	283
3070	2506
3009	2981
402	283
2911	2855
3507	3497
704	651
1881	1687
3595	3578
2407	2278
1780	1687
1385	1384
3355	3353
1702	1687
3011	2981
1189	1172
1883	1687
2093	2095
990	992
2811	2783
302	283
6	4
203	143
789	764
102	80
2490	2489
2142	4
3257	3191
2579	2562
3158	3148
1782	1687
2006	2008
2667	2624
702	651
3059	3048
2267	2217
2016	1576
1603	1592
1484	1478
2180	2157
799	764
1389	1384
2495	2489
2399	2278
1197	885
614	4
2178	2157
1310	885
1214	1216
3267	3185
3067	3048
3505	3476
309	283
1789	1687
2002	1972
2914	2855
1191	1172
1093	992
2276	2278
1476	1478
502	457
995	885
2102	2095
3155	3148
1098	885
1302	1304
3264	3265
798	764
200	143
1699	1687
3002	2981
1388	1384
3352	3353
400	283
993	992
894	892
1612	1592
1095	992
2571	2562
1400	885
1879	1687
2714	2715
699	651
2397	2278
2803	2783
1791	1687
2670	2624
112	80
2004	1972
2498	2489
110	80
3502	3497
395	283
706	332
1392	1384
2916	2855
1217	1216
2000	1972
2	4
797	764
807	332
1875	1687
306	283
3064	3048
1786	1687
2719	2715
2401	2278
2807	2783
2176	2157
499	457
2098	2095
1194	1172
597	576
1479	1478
599	576
1305	1304
1787	1687
2573	2562
2918	2855
1877	1687
896	892
2805	2783
397	283
712	4
308	283
197	143
1696	1687
1609	1592
2100	2095
1403	885
2272	2274
1697	1687
3078	2506
2174	2157
796	764
2673	2624
3153	3148
2717	2715
696	651
1087	992
2282	2278
3522	3497
1494	1478
3250	3191
782	764
520	457
1996	1972
792	332
1795	1687
1896	1687
1173	1172
2722	2715
2196	2157
522	332
2283	2278
1000	992
219	143
392	283
119	80
2393	2278
998	992
3074	3048
3174	3148
2820	2816
1797	1687
1897	1687
2676	2624
1594	1592
1181	885
118	80
2898	2855
607	576
1297	1298
3349	3185
912	892
1089	992
2281	2278
293	283
216	217
1693	1687
1796	1687
1394	1384
2819	2816
2996	2981
694	651
2588	2584
1898	1687
2085	2064
3248	3191
780	764
1497	1478
517	457
603	576
2279	2278
3519	3497
390	283
1893	1687
2824	2816
779	764
1792	1687
2725	2715
3246	3191
2280	2278
1200	1172
1994	1972
2193	2157
1003	992
1175	1172
1091	992
1794	1687
1691	1687
2679	2624
214	143
2823	2816
2479	2477
1397	1398
1300	1298
3346	3185
3172	3082
115	80
2901	2855
691	651
2591	2584
2395	2278
